"id","created_at","updated_at","name","additional_names"
5,2025-07-29 17:33:15.298 +0300,2025-07-29 17:33:15.298 +0300,selectel,{}
8,2025-07-30 13:51:02.113 +0300,2025-07-30 13:51:02.113 +0300,Kvando,{}
18,2025-08-08 20:46:08.504 +0300,2025-08-08 20:46:08.504 +0300,Киберпротект,{}
19,2025-08-11 13:30:00.238 +0300,2025-08-11 13:30:00.238 +0300,Аэроклуб IT,{}
20,2025-08-11 14:25:03.866 +0300,2025-08-11 14:25:03.866 +0300,CodingTeam,{}
21,2025-08-12 14:44:09.672 +0300,2025-08-12 14:44:09.672 +0300,"ООО ""Корметрикс""",{}
22,2025-08-12 15:35:20.789 +0300,2025-08-12 15:35:20.789 +0300,Роскадастр Инфотех,{}
23,2025-08-12 17:12:44.621 +0300,2025-08-12 17:12:44.621 +0300,Центр Компетенций Госуправления,{}
111,2025-09-04 17:33:27.433 +0300,2026-01-29 20:49:37.021 +0300,Адмитад,{адмитад}
24,2025-08-14 11:31:25.168 +0300,2025-08-14 11:31:25.168 +0300,Akvilon,{}
27,2025-08-18 15:41:39.457 +0300,2025-08-18 15:41:39.457 +0300,kaspersky,{}
4,2025-07-28 17:32:44.107 +0300,2026-07-03 16:52:50.289 +0300,Angara Security,"{angara security,angara}"
28,2025-08-18 18:38:35.624 +0300,2025-10-23 14:45:21.110 +0300,vk,"{Vk,VK,VK PREDICT}"
30,2025-08-19 18:41:19.617 +0300,2025-08-19 18:41:19.617 +0300,Buzz,{}
78,2025-08-25 14:48:07.473 +0300,2025-12-10 10:11:50.708 +0300,Строительный двор,"{Строительный,строитель,строительный двор}"
33,2025-08-20 20:59:44.146 +0300,2025-08-20 20:59:44.146 +0300,Стратосфера,{}
86,2025-08-27 11:51:26.752 +0300,2025-08-27 11:51:26.752 +0300,ПИК,{}
95,2025-09-01 14:46:29.290 +0300,2025-09-01 14:46:29.290 +0300,B2B-Center,{}
87,2025-08-27 13:18:05.325 +0300,2025-08-27 13:18:05.325 +0300,Telega.in,{}
13,2025-08-04 01:03:48.943 +0300,2025-11-25 08:36:04.654 +0300,Циан,"{циан,ЦИАН}"
88,2025-08-27 14:39:29.047 +0300,2025-08-27 14:39:29.047 +0300,Max,{}
99,2025-09-02 19:38:18.902 +0300,2025-09-09 20:44:38.600 +0300,ФМБА РОССИИ,{ФМБА}
118,2025-09-05 17:39:18.634 +0300,2025-12-10 18:02:07.019 +0300,GETMOBIT,{getmobit}
3,2025-07-28 17:20:31.629 +0300,2025-12-05 18:10:38.578 +0300,Финам,{финам}
38,2025-08-22 16:51:04.096 +0300,2025-08-22 16:51:04.096 +0300,Хантфлоу,{}
96,2025-09-01 19:01:49.525 +0300,2025-09-01 19:01:49.525 +0300,Актив Компьютерс,{}
2,2025-07-28 10:59:25.540 +0300,2026-03-15 19:27:21.602 +0300,Домклик,"{дом,дом.клик}"
98,2025-09-02 19:36:55.361 +0300,2026-01-28 18:03:15.809 +0300,АВ Софт,"{АВ софт,avsoft,авсофт,ав софт}"
34,2025-08-20 21:01:48.921 +0300,2025-08-24 19:53:44.060 +0300,KT.Team,{kt.team}
41,2025-08-23 18:34:36.604 +0300,2025-08-23 18:34:36.604 +0300,ООО К Студия,{}
6,2025-07-29 17:39:41.583 +0300,2026-01-22 20:45:13.425 +0300,Sense Group,"{SENSE(Альфа-банк),sense}"
10,2025-07-30 18:40:07.442 +0300,2026-03-05 13:36:25.925 +0300,Билайн,{beeline}
42,2025-08-24 22:01:25.084 +0300,2025-08-24 22:01:25.084 +0300,ПерилаГлавСнаб,{}
43,2025-08-24 22:12:23.641 +0300,2025-08-24 22:12:23.641 +0300,Интегрированные системы управления,{}
77,2025-08-25 14:39:18.017 +0300,2025-08-25 14:39:18.017 +0300,ExGaming,{}
82,2025-08-26 14:43:41.832 +0300,2025-08-26 14:43:41.832 +0300,SHEVEREV,{}
36,2025-08-21 17:24:05.283 +0300,2026-03-26 20:25:09.814 +0300,"2гис","{2ГИС,2гис,2гис,2гис,2GIS,2 Гис,2 гис,2gis}"
90,2025-08-27 17:10:30.438 +0300,2025-08-27 17:10:30.438 +0300,magicstaff.agency,{}
91,2025-08-27 17:17:21.842 +0300,2025-08-27 17:17:21.842 +0300,Aivi,{}
40,2025-08-22 17:00:12.624 +0300,2025-09-05 11:05:43.220 +0300,AGIMA,{agima}
17,2025-08-08 17:20:32.519 +0300,2026-07-22 13:12:28.939 +0300,Sber,"{сбер,sber,сбер банк,сбео,sebr,сбертех,сбер. it}"
29,2025-08-19 12:35:40.880 +0300,2025-11-05 13:30:56.683 +0300,СОГАЗ,"{согаз,Согаз,Согоаз}"
93,2025-08-29 11:30:36.308 +0300,2025-08-29 11:30:36.308 +0300,Звонок,{}
81,2025-08-26 14:40:13.411 +0300,2025-08-29 15:13:32.459 +0300,ООО Диджитал Сектор Поддержка,{ООО Диджитал Поддержка}
100,2025-09-02 19:39:55.485 +0300,2025-09-02 19:39:55.485 +0300,Production IT,{}
101,2025-09-03 12:49:46.732 +0300,2025-09-03 12:49:46.732 +0300,совкомбанк,{}
102,2025-09-03 12:52:46.679 +0300,2025-09-03 12:52:46.679 +0300,Россия сегодня,{}
103,2025-09-03 16:51:28.641 +0300,2025-09-03 16:51:28.641 +0300,Zvonok,{}
105,2025-09-04 12:36:48.812 +0300,2025-09-04 12:36:48.812 +0300,Absolut,{}
106,2025-09-04 13:17:11.472 +0300,2025-09-04 13:17:11.472 +0300,Корметрикс,{}
112,2025-09-04 18:16:32.838 +0300,2025-12-16 14:38:07.309 +0300,Литрес,"{литрес,ЛитРес,литресэ}"
113,2025-09-04 18:55:11.142 +0300,2025-09-04 18:55:11.142 +0300,Магнит выпечка,{}
83,2025-08-26 15:49:28.371 +0300,2025-09-11 12:25:20.448 +0300,IFellow,{ifellow}
116,2025-09-05 16:03:45.726 +0300,2025-09-05 16:03:45.726 +0300,ivideon,{}
117,2025-09-05 17:04:04.549 +0300,2025-09-05 17:04:04.549 +0300,ISS,{}
115,2025-09-05 15:58:30.398 +0300,2025-10-08 13:50:10.580 +0300,RoRe,{RoRe Group}
79,2025-08-25 17:31:55.940 +0300,2026-01-28 15:21:33.292 +0300,Промэкспертиза,"{Пром,промэкспертиза}"
89,2025-08-27 16:28:12.639 +0300,2025-09-11 11:42:52.618 +0300,Garda Tech,"{Garda,гарда}"
92,2025-08-28 19:18:19.126 +0300,2026-02-06 11:45:15.129 +0300,KTS,{kts}
25,2025-08-17 23:03:17.359 +0300,2025-09-12 16:34:21.675 +0300,Kode,{KODE}
94,2025-09-01 11:16:36.632 +0300,2026-02-04 17:55:42.132 +0300,Криптонит,{криптонит}
1,2025-07-24 01:48:44.770 +0300,2026-03-09 19:48:39.293 +0300,Вкусно и точка,{вкусно и точка}
35,2025-08-20 23:30:49.835 +0300,2025-10-07 17:16:04.083 +0300,ЯндексПоиск,"{Яндекс,Яндекс поиск,яндекс поиск}"
110,2025-09-04 17:22:02.681 +0300,2025-12-09 11:17:57.018 +0300,"Hello, Doc!","{Hello, doc,hello, doc!}"
108,2025-09-04 15:05:01.105 +0300,2025-12-08 14:46:13.499 +0300,GRI,"{Gri,gri}"
12,2025-08-04 00:56:16.781 +0300,2025-12-10 17:58:22.033 +0300,ivi,{иви}
11,2025-08-02 16:40:48.658 +0300,2025-12-15 10:13:21.962 +0300,X5 Tech,"{x5 tech,X5,x5,X5 Te,X5 tech,x5 texh,x5-tech}"
76,2025-08-25 13:45:03.318 +0300,2026-02-11 12:25:14.287 +0300,НСПК,{нспк}
37,2025-08-21 19:09:50.881 +0300,2026-02-12 19:17:24.435 +0300,YADRO,"{yadro,Yadro,yadroo}"
84,2025-08-26 15:50:50.021 +0300,2026-03-11 18:04:04.411 +0300,Леста Игры,"{Леста игры,леста,леста игры}"
109,2025-09-04 15:19:22.594 +0300,2025-09-05 16:14:31.504 +0300,Монитор Софт,{Монитор софт}
136,2025-09-10 11:06:03.737 +0300,2025-09-10 11:06:03.737 +0300,Syntella,{}
128,2025-09-09 05:59:24.663 +0300,2025-09-18 19:56:45.513 +0300,Песко Энергия и Ресурсы,"{Песко,Песко Энергия и Ресурсы}"
131,2025-09-09 14:42:50.598 +0300,2025-10-08 13:53:26.869 +0300,ГУП Московский социальный регистр,{ГУП Московский соц регистр}
134,2025-09-09 20:44:10.358 +0300,2025-10-23 15:27:26.343 +0300,tymy,{TYMY}
140,2025-09-10 15:13:43.002 +0300,2025-12-08 17:42:45.469 +0300,evercodeLad,{evercode lab}
132,2025-09-09 16:28:11.056 +0300,2026-02-27 02:55:10.068 +0300,Яндекс Алиса,"{яндекс,яндекс алиса}"
119,2025-09-05 18:00:46.121 +0300,2025-09-05 18:00:46.121 +0300,Энгри,{}
124,2025-09-08 18:14:14.055 +0300,2025-09-08 18:14:14.055 +0300,ООО Кибертех,{}
138,2025-09-10 12:45:51.474 +0300,2025-09-10 12:45:51.474 +0300,Третье мнение,{}
141,2025-09-10 15:23:43.963 +0300,2025-09-10 15:23:43.963 +0300,Neoflex,{}
145,2025-09-10 21:39:38.004 +0300,2025-09-10 21:39:38.004 +0300,"30БИТ",{}
142,2025-09-10 16:56:56.602 +0300,2025-09-15 21:26:30.306 +0300,Цифровой Аудит,{Цифровой аудит}
125,2025-09-08 18:34:18.095 +0300,2025-09-08 18:34:18.095 +0300,IGM,{}
126,2025-09-08 19:40:00.551 +0300,2025-09-08 19:40:00.551 +0300,InCodeWeTrust,{}
129,2025-09-09 12:36:35.380 +0300,2025-09-09 12:36:35.380 +0300,TokenSpot,{}
130,2025-09-09 14:37:01.245 +0300,2025-09-09 14:37:01.245 +0300,SoftJet,{}
137,2025-09-10 11:49:58.493 +0300,2025-09-10 11:49:58.493 +0300,ATI.SU,{}
139,2025-09-10 12:52:45.559 +0300,2025-09-10 12:52:45.559 +0300,Ostrovok,{}
120,2025-09-05 18:01:55.397 +0300,2025-09-12 15:09:03.339 +0300,SberMed,{Sbermed}
135,2025-09-09 20:52:38.364 +0300,2025-09-26 08:43:18.860 +0300,Aviata,{AVIATA}
123,2025-09-08 13:17:49.237 +0300,2025-10-28 13:20:59.106 +0300,High Sky,{HighSky}
146,2025-09-10 22:25:01.912 +0300,2025-11-17 19:07:24.379 +0300,White code,"{White Code,white code}"
14,2025-08-04 01:21:33.990 +0300,2025-11-21 15:21:21.446 +0300,the_covert,"{The_Covert,the covert}"
133,2025-09-09 16:45:45.183 +0300,2026-01-22 00:09:29.518 +0300,"85 Тех",{85 тех}
32,2025-08-20 18:39:04.315 +0300,2026-02-07 10:18:58.142 +0300,Шереметьево (Открытый код),"{Шереметьево,Шереметьево Открытый код,Шереметьево (Код Открытия),Шереметьево(открытый код),шереметьево,шереметьево (открытый код)}"
148,2025-09-11 12:07:01.588 +0300,2026-03-03 14:59:29.416 +0300,Мегафон,{мегафон}
127,2025-09-08 19:42:55.974 +0300,2026-04-02 11:31:21.262 +0300,UmbrellaIT,"{umbrellait,umbrella it}"
80,2025-08-26 13:01:16.600 +0300,2025-09-08 19:53:48.576 +0300,ИП Шатаев Андрей Васильевич,{ИП шатаев}
208,2025-09-28 20:18:28.101 +0300,2025-09-28 20:18:28.101 +0300,amoCRM,{}
149,2025-09-11 12:26:17.075 +0300,2025-09-11 12:26:17.075 +0300,fom group,{}
151,2025-09-11 13:28:37.769 +0300,2025-09-11 13:28:37.769 +0300,AdRiver,{}
155,2025-09-11 16:30:17.697 +0300,2025-09-11 16:30:17.697 +0300,Codex,{}
159,2025-09-15 13:42:37.889 +0300,2025-09-15 13:42:37.889 +0300,VisionLabs,{}
209,2025-09-29 10:46:07.846 +0300,2025-09-29 10:46:07.846 +0300,MCDis,{}
161,2025-09-16 11:29:17.689 +0300,2025-09-16 11:29:17.689 +0300,Гео-проект,{}
158,2025-09-12 20:50:42.690 +0300,2025-12-19 14:16:37.707 +0300,Первый бит,{первый бит}
164,2025-09-16 16:27:32.324 +0300,2025-09-16 16:27:32.324 +0300,SMENA,{}
195,2025-09-24 18:48:26.892 +0300,2025-11-18 17:27:54.550 +0300,ДАЛЕЕ,{Дип Диджитал}
166,2025-09-17 11:54:45.084 +0300,2025-09-17 11:54:45.084 +0300,Allio,{}
167,2025-09-17 17:47:06.352 +0300,2025-09-17 17:47:06.352 +0300,Spice IT,{}
162,2025-09-16 12:25:47.535 +0300,2025-09-18 13:42:46.833 +0300,Kostyl works,{Kostyl Works}
171,2025-09-18 17:13:11.601 +0300,2025-09-18 17:13:11.601 +0300,Data World,{}
172,2025-09-18 17:21:29.580 +0300,2025-09-18 17:21:29.580 +0300,ICL Soft,{}
175,2025-09-18 19:49:51.150 +0300,2025-09-18 19:49:51.150 +0300,ВЕБ-инфрастуктура,{}
177,2025-09-18 20:01:57.229 +0300,2025-09-18 20:01:57.229 +0300,CONSORT TAS,{}
179,2025-09-18 21:15:47.263 +0300,2025-09-18 21:15:47.263 +0300,JetTon,{}
180,2025-09-19 09:37:06.486 +0300,2025-09-19 09:37:06.486 +0300,Legend group,{}
181,2025-09-19 11:10:51.251 +0300,2025-09-19 11:10:51.251 +0300,СберСпасибо,{}
210,2025-09-29 14:38:04.782 +0300,2025-09-29 14:38:04.782 +0300,Курьер Дисконт М,{}
183,2025-09-19 17:46:22.406 +0300,2025-09-19 17:46:22.406 +0300,Автономные технологии,{}
157,2025-09-12 13:32:32.002 +0300,2025-10-29 16:07:29.407 +0300,Cloud.ru,"{cloud.ru,cloud,cloud ru}"
150,2025-09-11 12:30:15.725 +0300,2026-04-23 17:21:50.493 +0300,Айтеко,{айтеко}
