"id","created_at","updated_at","author_id","company_id","recruiter_telegram_login","stage","telegram_file_id","video_url","text","type","specialization"
2221,2026-04-10 13:46:12.845 +0300,2026-04-10 13:46:12.845 +0300,176,635,iskander_khairullin,screaning,,,"Офис в Казани. Говорит нужно будет ещё тех проходить у них в офисе с руководителем, но вроде можно договориться на удалённый тех. Толком ничего про проект не рассказал, но у них маленькая команда, придётся работать и за девопса и за тестировщика. Так же сказал надо быть круглосуточно на готове поднимать прод. Задавал стандартные технические вопросы:
- Как оптимизировал БД
- зачем нужна асинхронность
- что такое идемпотентность и как её достичь
- как взаимодействовал с кафкой
- работал ли с кубером
- делал ли CI/CD
- какие минусы у ORM
- что если в асинхронный эндпоинт добавить синхронную функцию",text,Python
2232,2026-04-14 15:43:05.843 +0300,2026-04-15 22:46:11.917 +0300,366,35,charonlimb,screaning,BAACAgIAAxkBAAEE96Rp3jQXZdqPS4p1i22NWb2olJ7jmQACjJoAAnUO8Epc8a43xIGQaDYE,https://s3.firstvds.ru:443/interviews/ЯндексПоиск/screaning/14-04-2026-15-43-05-AgADjJoAAnUO8Eo.mp4,"не тот экран записала😁
короче это вакансия для инфраструктуры под RnD, но можно по разным командам пособеседоваться

тех полностью лайфкодинг
там секции
1. рефакторинг/допилить код по проды)))
2. написать автотесты к этому коду
3. реализовать продуктовую задачу из их кейса
4. алгосы(прислал варианты)
5. архитектура по желанию

удаленка, нужен питонист, который для млщиков подготавливает инфраструктуру/либо в алису",video,Python
2234,2026-04-14 19:23:20.742 +0300,2026-04-15 22:51:19.872 +0300,120,17,jche_art,tech,BAACAgIAAxkBAAEE-Ntp3mm_2zK_hJUcMabUJLuspBOu_wACW5YAAghv8UoJXZm1Kmz5HTYE,https://s3.firstvds.ru:443/interviews/Sber/tech/14-04-2026-19-23-20-AgADW5YAAghv8Uo.mp4,,video,Python
2230,2026-04-13 18:20:50.232 +0300,2026-04-15 22:59:13.639 +0300,307,17,TanyaChertova,screaning,BAACAgIAAxkBAAEE8nxp3P3YxAQBzV32iXKsCw-nPld5zAACuZMAAuJV6Uo0wcf2u6K35DYE,https://s3.firstvds.ru:443/interviews/Sber/screaning/13-04-2026-18-20-50-AgADuZMAAuJV6Uo.mp4,"какая-то команда сбера по gen-ai, офис на период адаптации команды, потом гибрид можно",video,Python
2228,2026-04-13 15:38:21.693 +0300,2026-04-15 23:02:13.837 +0300,366,544,hr_amoCRMGlobal,tech,BAACAgIAAxkBAAEE8kZp3OJiNUB-xdd98tWSI-v4sE2tCwAC5JcAAnEq6ErO51lMAAHmDGw2BA,https://s3.firstvds.ru:443/interviews/amocrm/tech/13-04-2026-15-38-21-AgAD5JcAAnEq6Eo.mp4,"вопросы технические немного повторяются с этим же интервьером выше

по легенде чуть-чуть спрашивал, тех вопросы и сисдиз(мы просто вслух обговаривали, не рисовали ничего)
кейс вроде такой же, как и выше есть в записи

ищут бэка на сервис аналитики/копилота

@olegzvuk",video,Python
2222,2026-04-10 14:37:30.615 +0300,2026-04-11 00:44:43.116 +0300,366,642,zakharrrrr,screaning,BAACAgIAAxkBAAEE5-pp2N_yP96-VgXnn4S1g1_tyucS9QACE5kAAtuKyEqMsH_xkVpwbjYE,https://s3.firstvds.ru:443/interviews/сберзвук/screaning/10-04-2026-14-37-30-AgADE5kAAtuKyEo.mp4,"спрашивал стек, опыт, сложная/интересная задача
этот эйчар в принципе обычно не знает про вакансии, поэтому подробности спрашивать бесполезно😁
один этап - тех на 1,5 часа (думаю будет сис диз, хотя он говорит, что только вопросы по архитектуре)
оформление через аутстафф",video,Python
2223,2026-04-10 15:26:26.531 +0300,2026-04-11 00:52:13.542 +0300,121,83,lyonatuna,tech,BAACAgIAAxkBAAEE5_1p2OxFGWaOnDfi4m6blNmXecJFQgAC75AAAroHyUpCidmQYNaQJDYE,https://s3.firstvds.ru:443/interviews/IFellow/tech/10-04-2026-15-26-26-AgAD75AAAroHyUo.mp4,"Дефолтный тех, без лайфкодинг, чисто вопросы.
В конце интересные вопросы по типу ""Вот к тебе пришел продакт и сказал что твой код  говно, что делать будешь""
Я конечно не понял, как у них продакт приходит проверять ""код"".Но скорее всего поймали как волка((((",video,Python
2224,2026-04-10 15:46:56.088 +0300,2026-04-11 00:56:04.897 +0300,102,643,perfectoleg,screaning,BAACAgIAAxkBAAEE6A1p2O43y_WkdlHsNfx1GoXX4QS4MwACLo4AAtYHyErKYfpt0Trk1DYE,https://s3.firstvds.ru:443/interviews/broadapps/screaning/10-04-2026-15-46-56-AgADLo4AAtYHyEo.mp4,"Приятный HR

Это изи оффер, но есть нюанс ....

Срочно ищу разраба в свою галеру (ООО ""Абдула 2.0"") 

Старый гребец ушел в свободное плавание в связи с недовольством процессами, и не довольствоваться, скажу я вам, есть чем!

1. Вилка 150 - 180
2. Оплата криптой
3. Хуй пойми как ставятся задачи (собственник бизнеса может их ставить гс в тг)
4. Хуй пойми как принимаются решения о повышении зп
5. Возможны переработки
6. РУКОВОДСТВО НЕ ПРИЗНАЕТ НЕКОТОРЫЕ ГОСУДАРСТВЕННЫЕ ПРАЗДНИКИ (23 февраля и 8 марта если они в будни, то они рабочие)
7. Есть ТЗ (на 8 -12 часов по оценке Клода), хотя HR сказал что за 6 часов без  ИИ нахуярить можно
8. На проекте будет только 1 бэк

не все так плохо

1. Повторюсь HR приятный и он сказал что pm и pr понимающие
2. Удаленка по всему миру
3. ТЗ оплачиваемое (1000 деревянных, но криптой !)

Этапы скрин, тех по ТЗ, возможно финал, ТЗ прикрепляю ниже",video,Python
2227,2026-04-13 15:04:13.076 +0300,2026-04-13 15:04:13.076 +0300,334,11,Mariasamborskaya,screaning,,,"Скрининг с нестандартными техническими вопросами по Django:

1)Для чего используется метод clean() в Django ORM?
2)Как в django admin реализовать ссылочный переход на внешний ключ в списковом представлении табличных данных?
3)Как связать внешние поля моделей, если данные в разных базах?
4)Для чего нужны таймауты на запросы к различным службам типа Redis, PostgreSQL, Kafka? 5)Как ограничить время конкретного запроса или всех запросов к базе?

Не нашел в паравозе эту hr-ку, получается разминировал.",text,Python
2226,2026-04-13 14:35:49.540 +0300,2026-04-15 22:56:53.074 +0300,307,519,kristinafrolovaHR,screaning,BAACAgIAAxkBAAEE8hdp3NEqzglpL_CvDqhFa5fJXXmCowACdZEAAuJV6Uofrzpy8rAHjDYE,https://s3.firstvds.ru:443/interviews/эксперт/screaning/13-04-2026-14-35-49-AgADdZEAAuJV6Uo.mp4,"мед сфера, процессов нет, надо будет в соло их проекты пилить

вопросы ток по легенде/достижениям",video,Python
