"id","created_at","updated_at","mentee_id","created_by_user_id","company_id","amount","student_payment_percent","status","note","rejected_reason","employment_date","canceled_at","canceled_by_user_id","cancellation_reason"
2,2026-01-08 23:17:45.833 +0300,2026-01-08 23:17:48.536 +0300,130,55,451,250000,200,approved,,,2025-12-08,,,
32,2026-01-20 14:48:37.071 +0300,2026-01-20 15:25:01.409 +0300,56,13,,234000,200,rejected,,"Процент не верный, у него 100%",2025-10-28,,,
5,2026-01-08 23:25:01.382 +0300,2026-01-08 23:25:04.811 +0300,113,55,146,300000,200,approved,,,2025-11-27,,,
33,2026-01-20 17:06:24.110 +0300,2026-01-20 17:15:57.627 +0300,285,20,148,357000,200,rejected,,Замени сумму,2025-12-26,,,
8,2026-01-08 23:30:39.740 +0300,2026-01-08 23:30:42.005 +0300,72,55,454,260000,100,approved,,,2025-11-28,,,
34,2026-01-20 19:06:52.113 +0300,2026-01-20 19:12:16.052 +0300,56,13,,234000,100,approved,,,2025-10-28,,,
10,2026-01-08 23:37:06.241 +0300,2026-01-08 23:37:47.526 +0300,170,23,456,324000,175,rejected,,"не корректные доли, должно быть ibochkarev878:12, mamin_boec:18",2025-11-20,,,
12,2026-01-08 23:41:06.598 +0300,2026-01-08 23:41:10.343 +0300,75,55,200,313200,100,approved,,,2025-12-25,,,
35,2026-01-20 21:25:01.486 +0300,2026-01-20 21:33:38.140 +0300,92,101,164,220000,200,approved,,,2025-10-03,,,
13,2026-01-08 23:48:35.910 +0300,2026-01-09 00:10:50.693 +0300,30,55,457,350000,100,approved,,,2025-10-15,,,
11,2026-01-08 23:38:30.592 +0300,2026-01-09 00:13:53.070 +0300,170,23,456,324000,200,approved,,,2025-11-20,,,
9,2026-01-08 23:32:15.454 +0300,2026-01-09 00:14:36.989 +0300,300,55,455,400000,200,approved,,,2025-11-12,,,
7,2026-01-08 23:28:47.159 +0300,2026-01-09 00:15:40.597 +0300,133,55,39,243600,200,approved,,,2025-11-01,,,
6,2026-01-08 23:26:55.154 +0300,2026-01-09 00:16:46.478 +0300,129,55,213,250400,200,approved,,,2025-11-26,,,
4,2026-01-08 23:22:54.323 +0300,2026-01-09 00:17:59.923 +0300,78,55,453,260000,200,approved,,,2025-11-10,,,
3,2026-01-08 23:20:36.961 +0300,2026-01-09 00:18:38.982 +0300,136,55,452,230000,200,approved,,,2025-10-28,,,
15,2026-01-09 00:23:53.411 +0300,2026-01-09 00:24:04.358 +0300,44,23,94,280000,100,approved,,,2025-11-24,,,
16,2026-01-09 00:27:39.962 +0300,2026-01-09 00:27:51.118 +0300,117,55,459,300000,200,approved,,,2025-11-10,,,
17,2026-01-09 00:30:31.041 +0300,2026-01-09 00:30:39.023 +0300,77,23,94,280000,200,approved,,,2025-09-24,,,
18,2026-01-09 00:32:20.142 +0300,2026-01-09 00:32:29.190 +0300,65,23,265,180000,100,approved,,,2025-12-08,,,
19,2026-01-09 00:35:41.693 +0300,2026-01-09 00:36:09.121 +0300,79,23,94,280000,200,approved,,,2025-09-16,,,
21,2026-01-09 00:51:59.010 +0300,2026-01-09 00:52:01.249 +0300,47,55,460,250000,100,approved,,,2025-11-10,,,
23,2026-01-12 12:29:55.096 +0300,2026-01-12 12:31:01.029 +0300,125,24,462,240000,200,approved,,,2025-11-07,,,
36,2026-01-20 21:26:12.979 +0300,2026-01-20 21:33:39.405 +0300,85,101,482,315000,200,approved,,,2025-10-21,,,
22,2026-01-12 12:28:12.024 +0300,2026-01-12 12:31:04.898 +0300,86,24,461,350000,200,approved,,,2025-11-06,,,
14,2026-01-09 00:06:11.552 +0300,2026-01-12 14:34:01.318 +0300,43,55,458,300150,100,approved,,,2025-11-11,,,
24,2026-01-13 22:10:32.130 +0300,2026-01-13 22:13:19.077 +0300,161,13,108,330600,200,approved,,,2026-01-19,,,
25,2026-01-14 18:53:43.395 +0300,2026-01-14 19:23:52.288 +0300,153,13,,180000,200,approved,,,2025-09-17,,,
1,2026-01-08 23:15:57.391 +0300,2026-01-19 14:07:43.202 +0300,118,55,450,310000,200,approved,,,2025-12-08,,,
29,2026-01-19 20:23:18.153 +0300,2026-01-19 20:32:54.071 +0300,91,101,135,300000,200,approved,,,2025-12-18,,,
30,2026-01-19 20:25:01.646 +0300,2026-01-19 20:32:59.447 +0300,87,101,477,380000,200,approved,,,2025-12-18,,,
27,2026-01-19 09:37:08.963 +0300,2026-01-19 20:33:22.676 +0300,68,18,470,226200,100,approved,,,2026-01-13,,,
28,2026-01-19 09:39:57.654 +0300,2026-01-20 12:11:04.209 +0300,126,18,471,217500,200,approved,,,2026-01-19,,,
26,2026-01-19 09:35:30.587 +0300,2026-01-20 12:11:09.158 +0300,116,18,236,287000,200,approved,,,2025-10-20,,,
31,2026-01-20 14:34:43.342 +0300,2026-01-20 14:34:45.120 +0300,134,55,479,287100,200,approved,,,2025-12-10,,,
37,2026-01-21 11:44:12.786 +0300,2026-01-22 11:46:01.156 +0300,285,20,148,310590,200,approved,,,2025-12-26,,,
