"mentee_id","mentor_id"
52,20
51,20
137,20
140,20
158,20
160,20
164,20
168,20
176,20
285,20
297,20
296,20
42,18
116,18
75,18
119,18
68,18
72,18
126,18
113,18
128,18
306,18
334,18
366,18
369,18
85,101
30,101
92,101
91,101
87,101
62,101
94,101
97,101
99,101
105,101
308,101
360,101
88,5
73,5
90,5
78,5
302,5
83,5
70,5
84,5
100,5
104,5
332,5
365,5
124,5
155,5
107,5
294,5
374,5
373,5
61,13
153,13
66,13
56,13
117,13
129,13
38,13
63,13
135,13
288,13
165,13
293,13
367,13
133,13
118,13
161,13
96,13
169,13
157,13
368,13
136,24
50,24
43,24
53,24
86,24
125,24
114,24
95,24
282,24
286,24
287,24
363,24
353,24
79,23
71,23
77,23
170,23
65,23
44,23
103,23
106,23
123,23
130,23
174,23
307,23
333,23
370,23
2580,23
2587,23
2734,101
2735,24
2742,101
2743,24
2745,23
2746,362
2747,23
2748,24
2749,23
2750,24
2751,23
2752,20
2771,101
2772,24
2773,23
2774,20
2775,18
2776,101
2777,23
2778,24
2779,18
2780,23
2781,101
2782,13
2783,24
2784,20
2785,23
2786,23
2787,24
3178,101
3185,18
3197,23
4229,18
4230,20
4231,18
4794,13
4927,23
4928,18
3194,23
300,24
121,24
166,24
141,24
154,24
156,24
167,24
171,24
115,24
120,24
364,24
2581,24
2744,24
4931,24
4932,13
4933,5
4934,18
4935,101
4936,20
4937,23
4938,13
4939,5
7524,101
7530,18
7531,20
7532,23
7533,24
