ID,Раздел,Тема,Вес,Сортировка,Описание
1,Технические скиллы,Основы Python,14,1,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-174&t=P4JEJQvDzqk9FBt5-4
2,Технические скиллы,Git,3,2,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-362&t=P4JEJQvDzqk9FBt5-4
3,Технические скиллы,AI-инструментарий,3,3,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-164&t=P4JEJQvDzqk9FBt5-4
4,Технические скиллы,Продвинутый Python,14,4,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-412&t=P4JEJQvDzqk9FBt5-4
5,Технические скиллы,Алгоритмы и структуры данных,4,5,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-717&t=P4JEJQvDzqk9FBt5-4
6,Технические скиллы,Базы данных,14,6,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-810&t=P4JEJQvDzqk9FBt5-4
7,Технические скиллы,Тестирование,4,7,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1619&t=P4JEJQvDzqk9FBt5-4
8,Технические скиллы,Инфраструктура,7,8,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1702&t=P4JEJQvDzqk9FBt5-4
9,Технические скиллы,Backend Фреймворки,14,9,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2212&t=P4JEJQvDzqk9FBt5-4
10,Технические скиллы,Подготовка к проектам,1,10,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2&t=P4JEJQvDzqk9FBt5-4
11,Технические скиллы,Проект на Django,7,11,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2799&t=P4JEJQvDzqk9FBt5-4
12,Технические скиллы,Архитектура кода,3,12,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1261&t=P4JEJQvDzqk9FBt5-4
13,Технические скиллы,Архитектура приложений,3,13,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-1404&t=P4JEJQvDzqk9FBt5-4
14,Технические скиллы,Проект на FastAPI,7,14,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2733&t=P4JEJQvDzqk9FBt5-4
15,Технические скиллы,Основы ML,2,15,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-2565&t=P4JEJQvDzqk9FBt5-4
16,Технические скиллы,Юридические знания,1,16,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-154&t=P4JEJQvDzqk9FBt5-4
17,Скиллы для устройства на работу,Составление резюме + легенды,7,17,Запишись на составление легенды и резюме к своему тимлиду
18,Скиллы для устройства на работу,Поиск работы,30,18,https://www.figma.com/board/LlnTIXHJnKzcTEwFsgPvGa/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%81%D0%BE%D0%BA%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-Python-2026?node-id=1-35&t=P4JEJQvDzqk9FBt5-4
