"id","created_at","updated_at","main_theme","theme","weight","ordering","description","specialization"
28,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.608 +0300,Технические скиллы,PostgreSQL и SQL,10,10,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1471&t=35Y1xOHrxycD1pNf-4,Go
29,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.609 +0300,Технические скиллы,Cashe,5,11,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1398&t=35Y1xOHrxycD1pNf-4,Go
30,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.610 +0300,Технические скиллы,Messaging / Brokers,5,12,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1242&t=35Y1xOHrxycD1pNf-4,Go
32,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.613 +0300,Технические скиллы,Security,4,15,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1003&t=35Y1xOHrxycD1pNf-4,Go
19,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.595 +0300,Технические скиллы,Подготовка инженера,7,1,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2479&t=35Y1xOHrxycD1pNf-4,Go
20,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.596 +0300,Технические скиллы,Go Core (язык и стандартная библиотека),5,2,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2454&t=35Y1xOHrxycD1pNf-4,Go
21,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.597 +0300,Технические скиллы,Тестирование,3,3,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2393&t=35Y1xOHrxycD1pNf-4,Go
22,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.599 +0300,Технические скиллы,Алгоритмы и Структуры данных,3,4,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2377&t=35Y1xOHrxycD1pNf-4,Go
23,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.601 +0300,Технические скиллы,Go Concurrency,5,5,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2070&t=35Y1xOHrxycD1pNf-4,Go
24,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.604 +0300,Технические скиллы,Go Runtime & Performance,5,6,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-2259&t=35Y1xOHrxycD1pNf-4,Go
25,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.605 +0300,Технические скиллы,Go Tooling & Codebase Engineering,5,7,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1963&t=35Y1xOHrxycD1pNf-4,Go
26,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.606 +0300,Технические скиллы,HTTP/API слой,4,8,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1796&t=35Y1xOHrxycD1pNf-4,Go
27,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.607 +0300,Технические скиллы,Интеграции и внешние API,3,9,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1688&t=35Y1xOHrxycD1pNf-4,Go
33,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.614 +0300,Технические скиллы,Архитектура и System Design,7,16,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-850&t=35Y1xOHrxycD1pNf-4,Go
34,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.616 +0300,Технические скиллы,DevOps минимум и Delivery,5,17,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-778&t=35Y1xOHrxycD1pNf-4,Go
35,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.617 +0300,Технические скиллы,Финальный проект,10,18,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-753&t=35Y1xOHrxycD1pNf-4,Go
36,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.618 +0300,Скиллы для устройства на работу,Составление резюме + легенды,4,20,Запишись на составление легенды и резюме к своему тимлиду,Go
37,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.620 +0300,Скиллы для устройства на работу,Поиск работы,30,21,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-581&t=35Y1xOHrxycD1pNf-4,Go
31,2026-04-09 14:22:15.572 +0300,2026-04-09 14:22:15.611 +0300,Технические скиллы,Observability & SRE-мышление,4,14,https://www.figma.com/board/zUVm6mo2g0UQhJny5LRCZK/-%D0%9A%D0%BE%D0%BD%D1%84%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE--%D0%92%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D0%B9-%D1%80%D0%BE%D0%B0%D0%B4%D0%BC%D0%B0%D0%BF-%D0%BF%D0%BE-Go?node-id=219-1132&t=35Y1xOHrxycD1pNf-4,Go
